Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
US East (N. Virginia),Amazon EC2,0,"2,162.32",25947.84,USD,"Operating system (Linux), Quantity (4), vCPU(4), 16Gb memory, Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Instance type (m5.xlarge)"
US East (N. Virginia),Amazon EC2,0,"2,082.97",17904,USD,"Operating system (Linux), Quantity (4), vCPU(4), 16Gb memory, Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (3000 GB), Instance type (m6g.xlarge)"
US East (N. Virginia),Amazon RDS for MySQL,0,1131.6,22551.84,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m1.large), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
US East (N. Virginia),Amazon Elastic IP,0,0,0,USD,"Number of EC2 instances (1), Number of EIPs per instance (1)"
US East (N. Virginia),S3 Standard,0,1150,15423.24,USD,S3 Standard storage (50000 GB per month)
US East (N. Virginia),Data Transfer,0,0,0,USD,"Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month"
US East (N. Virginia),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
US East (N. Virginia),Elastic Load Balancing,0,552.98,6635.76,USD,"Number of Network Load Balancers (1), Average number of new TCP connections (5000 per second), Average number of new UDP Flows (5000 per second), Average UDP Flow duration (60 seconds), Average TCP connection duration (60 seconds), Processed bytes per NLB for TCP (10 GB per hour), Processed bytes per NLB for UDP (10 GB per hour), Processed bytes per NLB for TLS (10 GB per hour), Average number of new TLS connections (5000 per second), Average TLS connection duration (60 seconds)"
US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,482.85,3094.2,USD,Number of NAT Gateways (1)
US East (N. Virginia),Amazon Route 53,0,938,2110.8,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
US East (N. Virginia),Amazon CloudWatch,0,51.18,253.08,USD,"Number of Metrics (includes detailed and custom metrics) (100), GetMetricData: Number of metrics requested (20), Standard Logs: Data Ingested (10 GB), Logs Delivered to CloudWatch Logs: Data Ingested (10 GB), Number of Contributor Insights rules for DynamoDB (10), Total number of events for DynamoDB (2 million events per month), Number of Dashboards (5), Number of Custom/Cross-account events (100), Expected Logs Data scanned (5 GB)"
,,,,,,
,,Total,9736.33,,,
